No,Tanggal,year,month,day,PM10,CO,SO2,NO2,O3,TEMP,TEMP_kelvin,PM10_ug_per_m3,CO_ug_per_m3,SO2_ug_per_m3,NO2_ug_per_m3,O3_ug_per_m3,PM10_ISPU,CO_ISPU,SO2_ISPU,NO2_ISPU,O3_ISPU
33,11/11/2015,2015,11,1,99.7,1673.5,7.4,58.5,12,3.2,276.3652778,99.7,0.0204,0.00021,0.00117,0.00025,Sedang,Baik,Baik,Baik,Baik
34,12/12/2015,2015,12,1,148.2,1871.9,13.8,73.1,13.1,0,273.1811828,148.2,0.02309,0.00039,0.00148,0.00028,Tidak Sehat,Baik,Baik,Baik,Baik
35,1/1/2016,2016,1,1,80.3,1309.5,15.9,54.9,29.4,-4.2,268.9997312,80.3,0.0164,0.00046,0.00113,0.00063,Sedang,Baik,Baik,Baik,Baik
36,2/2/2016,2016,2,1,57.1,891.5,11.8,43.4,44.9,1.4,274.5864943,57.1,0.01094,0.00033,0.00087,0.00094,Sedang,Baik,Baik,Baik,Baik
37,3/3/2016,2016,3,1,125.5,1056.2,12.1,57.4,43.3,8.9,282.0001344,125.5,0.01262,0.00033,0.00113,0.00089,Tidak Sehat,Baik,Baik,Baik,Baik
38,4/4/2016,2016,4,1,106.5,729,7.2,42.6,61.1,16.3,289.4780556,106.5,0.00848,0.00019,0.00081,0.00122,Tidak Sehat,Baik,Baik,Baik,Baik
39,5/5/2016,2016,5,1,77.6,578.2,6,34,81.1,21.1,294.2129032,77.6,0.00662,0.00016,0.00064,0.00159,Sedang,Baik,Baik,Baik,Baik
40,6/6/2016,2016,6,1,67.4,641.7,3.9,31.5,92.2,25.4,298.5356944,67.4,0.00724,0.0001,0.00058,0.00178,Sedang,Baik,Baik,Baik,Baik
41,7/7/2016,2016,7,1,67.6,942.2,3,27,87.1,27.1,300.2612903,67.6,0.01057,8.00E-05,0.0005,0.00167,Sedang,Baik,Baik,Baik,Baik
42,8/8/2016,2016,8,1,52.3,870,2.8,27.4,75.1,27.2,300.3384409,52.3,0.00976,7.00E-05,0.0005,0.00144,Sedang,Baik,Baik,Baik,Baik
43,9/9/2016,2016,9,1,57.1,772.2,3.3,35.2,53.5,21.2,294.3157549,57.1,0.00884,9.00E-05,0.00066,0.00105,Sedang,Baik,Baik,Baik,Baik
44,10/10/2016,2016,10,1,96.3,1138.3,3.4,52.7,23.4,12.8,285.968898,96.3,0.01341,9.00E-05,0.00102,0.00047,Sedang,Baik,Baik,Baik,Baik
45,11/11/2016,2016,11,1,119.7,1631.9,9.9,60.7,13.3,4.1,277.2673611,119.7,0.01983,0.00028,0.00121,0.00028,Tidak Sehat,Baik,Baik,Baik,Baik
46,12/12/2016,2016,12,1,125.9,1752.2,15.2,66.4,14.1,0.1,273.2498656,125.9,0.0216,0.00043,0.00134,0.0003,Tidak Sehat,Baik,Baik,Baik,Baik
47,1/1/2017,2017,1,1,113.9,1367.1,15.9,52.9,29.3,-1.4,271.7991985,113.9,0.01695,0.00045,0.00108,0.00062,Tidak Sehat,Baik,Baik,Baik,Baik
48,2/1/2017,2017,2,1,72.4,1049.9,14.7,45,36.5,2.4,275.5255233,72.4,0.01284,0.00041,0.0009,0.00076,Sedang,Baik,Baik,Baik,Baik
